hours_studied,sleep_hours,attendance_percent,previous_scores,exam_score
6.2,8,91,46,35
7,5.1,98.2,88,43.3
3.9,4.1,55.4,53,19
10.6,5,51.3,80,35.1
5.7,5.6,65.6,53,29.9
3.3,8.3,83.9,56,33
6.9,8.8,97.9,82,45.8
9,5.4,69.8,45,35.5
3.2,7.2,85.8,50,26.4
4.4,6,53.8,55,21.9
11.9,8.9,84.5,51,44.1
8.1,6.7,81.4,75,42.3
5.8,8.7,55.1,44,27.7
6.7,4.6,88.6,50,33.4
2.3,8.9,92.5,40,29.7
3.5,4.9,80,66,23.6
4.7,8.8,56.1,68,33.6
7.5,5.3,99.2,84,37.9
3.5,4.5,89.1,78,29.5
3.4,6.2,67.4,70,24.7
1.8,7.6,71.4,58,25.2
7.9,5.6,68.5,42,31.4
3.5,7,75.3,54,30
11,6.6,67.1,58,35.8
10.5,5.9,92.5,85,40.6
1.8,6.9,91.1,58,30.1
3.6,5.3,55.3,84,30.3
8.4,7.5,98,95,42
3.4,4,81.8,69,32.1
2.5,8.6,91.4,44,22.8
11.3,6.7,85.4,83,45.3
7.3,7.6,71.8,54,31
6.2,7.7,86.7,56,31
9.6,7.4,98.3,90,40.9
9.9,5.8,63.5,90,44.8
3.1,4.3,90.4,80,34.4
2.1,7.3,76.9,77,30.7
5.7,5.7,74.2,82,31
5.7,5.6,71.8,91,35
6.1,8.2,86.6,52,31.4
9,7.6,63.4,67,38.4
8.4,5.5,92.6,47,36.1
11.8,5.5,91.5,74,44.1
2.1,6,54.3,54,19.4
5.4,6,94.1,81,39.4
4.7,5.5,62.2,49,22.9
10.5,4.6,73.2,57,36.2
3.7,6.1,80.5,92,33.4
3.1,8.7,68.9,49,23.4
5.9,7.4,51.4,44,28
5.6,8.5,92.5,43,32.2
4.1,7.1,59.1,50,30.7
3.7,5.5,60.6,90,28.8
11.2,6.7,89.9,59,46.7
5.9,4,67,78,33.8
10.5,5.4,94,87,42.7
7.1,6.1,85.1,92,40.4
1.6,6.9,63.8,76,28.2
12,7.3,50.5,58,42
10.2,6.3,97.4,68,37.8
